config,fitness
"[6, 7, 2, 3, 4, 5, 1, 0]",0.091
"[6, 3, 0, 5, 4, 7, 2, 1]",0.100
"[3, 7, 5, 4, 1, 2, 6, 0]",0.111
"[6, 4, 3, 7, 5, 0, 1, 2]",0.111
"[6, 7, 1, 2, 3, 4, 0, 5]",0.111
"[5, 3, 7, 0, 1, 2, 6, 4]",0.111
"[5, 7, 0, 2, 3, 4, 1, 6]",0.111
"[1, 0, 5, 4, 2, 6, 7, 3]",0.111
"[0, 6, 5, 7, 4, 1, 2, 3]",0.125
"[0, 5, 6, 3, 2, 7, 4, 1]",0.125
"[6, 7, 1, 0, 2, 4, 3, 5]",0.125
"[4, 0, 2, 1, 3, 6, 7, 5]",0.143
"[5, 0, 4, 6, 1, 7, 3, 2]",0.143
"[1, 0, 6, 2, 3, 5, 4, 7]",0.143
"[1, 5, 6, 4, 3, 7, 2, 0]",0.143
"[7, 6, 1, 2, 3, 5, 0, 4]",0.143
"[2, 3, 7, 5, 0, 4, 6, 1]",0.143
"[4, 3, 1, 2, 6, 0, 5, 7]",0.143
"[7, 6, 5, 3, 0, 1, 4, 2]",0.167
"[3, 6, 7, 0, 4, 2, 5, 1]",0.167
"[1, 7, 0, 5, 2, 6, 3, 4]",0.167
"[1, 3, 4, 0, 6, 5, 2, 7]",0.167
"[5, 1, 7, 2, 6, 4, 0, 3]",0.167
"[5, 4, 0, 2, 6, 1, 7, 3]",0.167
"[6, 0, 3, 1, 7, 4, 5, 2]",0.167
"[0, 1, 3, 5, 2, 6, 4, 7]",0.167
"[0, 3, 5, 1, 2, 4, 6, 7]",0.167
"[7, 2, 1, 5, 0, 3, 4, 6]",0.200
"[5, 4, 1, 7, 6, 2, 3, 0]",0.200
"[2, 4, 6, 7, 5, 1, 0, 3]",0.200
"[7, 4, 0, 5, 3, 6, 1, 2]",0.200
"[5, 0, 6, 1, 2, 3, 7, 4]",0.200
"[4, 2, 0, 1, 6, 7, 5, 3]",0.200
"[7, 1, 6, 0, 2, 5, 3, 4]",0.200
"[5, 2, 3, 6, 0, 4, 1, 7]",0.250
"[3, 7, 5, 0, 6, 1, 4, 2]",0.250
"[3, 6, 2, 4, 1, 0, 5, 7]",0.250
"[7, 0, 4, 6, 3, 5, 2, 1]",0.250
"[1, 6, 3, 7, 4, 0, 5, 2]",0.250
"[1, 7, 0, 6, 3, 5, 4, 2]",0.250
"[5, 3, 1, 4, 0, 2, 6, 7]",0.250
"[1, 5, 2, 0, 7, 6, 4, 3]",0.250
"[1, 7, 2, 0, 5, 4, 6, 3]",0.250
"[0, 6, 7, 1, 3, 5, 2, 4]",0.250
"[4, 6, 1, 2, 7, 3, 0, 5]",0.333
"[7, 2, 4, 1, 6, 0, 3, 5]",0.333
"[4, 3, 7, 0, 1, 5, 2, 6]",0.333
"[6, 3, 0, 4, 1, 5, 7, 2]",0.500
"[0, 4, 1, 5, 2, 6, 7, 3]",0.500
"[7, 1, 3, 0, 6, 4, 2, 5]",1.000
"[6, 3, 0, 5, 4, 7, 2, 1]",0.100
"[3, 7, 5, 4, 1, 2, 6, 0]",0.111
"[6, 4, 3, 7, 5, 0, 1, 2]",0.111
"[6, 7, 1, 2, 3, 4, 0, 5]",0.111
"[5, 3, 7, 0, 1, 2, 6, 4]",0.111
"[5, 7, 0, 2, 3, 4, 1, 6]",0.111
"[1, 0, 5, 4, 2, 6, 7, 3]",0.111
"[0, 6, 5, 7, 4, 1, 2, 3]",0.125
"[0, 5, 6, 3, 2, 7, 4, 1]",0.125
"[6, 7, 1, 0, 2, 4, 3, 5]",0.125
"[4, 0, 2, 1, 3, 6, 7, 5]",0.143
"[5, 0, 4, 6, 1, 7, 3, 2]",0.143
"[1, 0, 6, 2, 3, 5, 4, 7]",0.143
"[1, 5, 6, 4, 3, 7, 2, 0]",0.143
"[7, 6, 1, 2, 3, 5, 0, 4]",0.143
"[2, 3, 7, 5, 0, 4, 6, 1]",0.143
"[4, 3, 1, 2, 6, 0, 5, 7]",0.143
"[7, 6, 5, 3, 0, 1, 4, 2]",0.167
"[3, 6, 7, 0, 4, 2, 5, 1]",0.167
"[1, 7, 0, 5, 2, 6, 3, 4]",0.167
"[1, 3, 4, 0, 6, 5, 2, 7]",0.167
"[5, 1, 7, 2, 6, 4, 0, 3]",0.167
"[5, 4, 0, 2, 6, 1, 7, 3]",0.167
"[6, 0, 3, 1, 7, 4, 5, 2]",0.167
"[0, 1, 3, 5, 2, 6, 4, 7]",0.167
"[0, 3, 5, 1, 2, 4, 6, 7]",0.167
"[7, 2, 1, 5, 0, 3, 4, 6]",0.200
"[5, 4, 1, 7, 6, 2, 3, 0]",0.200
"[2, 4, 6, 7, 5, 1, 0, 3]",0.200
"[7, 4, 0, 5, 3, 6, 1, 2]",0.200
"[5, 0, 6, 1, 2, 3, 7, 4]",0.200
"[5, 7, 6, 3, 1, 4, 0, 2]",0.200
"[4, 2, 0, 1, 6, 7, 5, 3]",0.200
"[7, 1, 6, 0, 2, 5, 3, 4]",0.200
"[5, 2, 3, 6, 0, 4, 1, 7]",0.250
"[3, 7, 5, 0, 6, 1, 4, 2]",0.250
