populacao,total_cenverg,it_converg,fitmedio,gen
20,7,157,0.675,202
20,0,0,0.500,202
20,20,15,1.000,209
20,20,16,1.000,207
20,0,0,0.500,213
20,20,49,1.000,215
20,17,137,0.925,210
20,0,0,0.500,214
20,20,46,1.000,211
20,0,0,0.500,205
