populacao,total_cenverg,it_converg,fitmedio
20,4,168,0.575
20,0,0,0.483
20,13,44,0.825
20,0,0,0.433
20,3,114,0.558
20,4,139,0.600
20,3,70,0.575
20,2,24,0.500
20,3,75,0.575
20,3,58,0.575
