config,fitness
"[7, 1, 3, 4, 5, 2, 6, 0]",0.091
"[0, 1, 5, 3, 6, 2, 4, 7]",0.111
"[3, 7, 5, 6, 4, 1, 2, 0]",0.111
"[7, 0, 1, 3, 4, 2, 5, 6]",0.111
"[3, 7, 5, 6, 0, 4, 1, 2]",0.111
"[4, 5, 2, 6, 0, 1, 7, 3]",0.111
"[7, 5, 6, 0, 3, 4, 1, 2]",0.125
"[1, 7, 6, 0, 3, 2, 5, 4]",0.125
"[0, 3, 4, 1, 2, 7, 5, 6]",0.125
"[7, 6, 1, 0, 2, 4, 3, 5]",0.143
"[7, 5, 1, 0, 4, 2, 3, 6]",0.143
"[5, 2, 7, 0, 4, 3, 6, 1]",0.143
"[7, 1, 6, 0, 4, 5, 3, 2]",0.143
"[0, 1, 5, 2, 4, 6, 3, 7]",0.143
"[1, 7, 0, 4, 2, 6, 5, 3]",0.167
"[1, 6, 5, 3, 2, 7, 4, 0]",0.167
"[7, 5, 0, 2, 4, 3, 6, 1]",0.167
"[4, 5, 0, 1, 7, 6, 2, 3]",0.167
"[7, 1, 4, 5, 6, 3, 0, 2]",0.167
"[0, 1, 5, 3, 7, 2, 4, 6]",0.167
"[0, 4, 3, 6, 7, 1, 2, 5]",0.167
"[3, 7, 4, 0, 6, 1, 2, 5]",0.167
"[3, 4, 1, 2, 5, 6, 0, 7]",0.167
"[2, 7, 6, 1, 5, 4, 3, 0]",0.200
"[3, 1, 0, 4, 6, 2, 7, 5]",0.200
"[2, 0, 4, 6, 1, 5, 3, 7]",0.200
"[1, 5, 7, 4, 6, 2, 0, 3]",0.200
"[4, 3, 0, 7, 6, 2, 5, 1]",0.200
"[1, 4, 5, 7, 2, 6, 0, 3]",0.200
"[3, 6, 2, 5, 4, 0, 7, 1]",0.200
"[4, 6, 1, 5, 3, 2, 0, 7]",0.200
"[3, 0, 6, 4, 5, 2, 1, 7]",0.200
"[4, 2, 7, 6, 0, 5, 3, 1]",0.200
"[5, 2, 7, 1, 4, 3, 6, 0]",0.200
"[6, 0, 1, 5, 3, 7, 4, 2]",0.200
"[4, 6, 1, 3, 2, 5, 7, 0]",0.250
"[7, 1, 6, 0, 2, 4, 3, 5]",0.250
"[0, 7, 1, 3, 6, 4, 2, 5]",0.250
"[5, 4, 1, 7, 2, 6, 0, 3]",0.250
"[5, 3, 4, 2, 0, 6, 1, 7]",0.250
"[0, 6, 5, 7, 1, 3, 2, 4]",0.250
"[1, 4, 6, 2, 7, 5, 0, 3]",0.250
"[2, 7, 3, 0, 6, 5, 1, 4]",0.250
"[0, 7, 2, 3, 6, 4, 1, 5]",0.250
"[1, 3, 5, 0, 6, 4, 7, 2]",0.250
"[5, 3, 2, 6, 7, 1, 4, 0]",0.333
"[0, 4, 7, 2, 6, 1, 3, 5]",0.333
"[6, 1, 2, 5, 7, 4, 3, 0]",0.333
"[1, 3, 5, 7, 4, 0, 2, 6]",0.500
"[0, 3, 1, 6, 4, 2, 7, 5]",0.500
"[7, 1, 3, 4, 5, 2, 6, 0]",0.091
"[0, 1, 5, 3, 6, 2, 4, 7]",0.111
"[3, 7, 5, 6, 4, 1, 2, 0]",0.111
"[7, 0, 1, 3, 4, 2, 5, 6]",0.111
"[3, 7, 5, 6, 0, 4, 1, 2]",0.111
"[4, 5, 2, 6, 0, 1, 7, 3]",0.111
"[7, 5, 6, 0, 3, 4, 1, 2]",0.125
"[1, 7, 6, 0, 3, 2, 5, 4]",0.125
"[0, 3, 4, 1, 2, 7, 5, 6]",0.125
"[7, 6, 1, 0, 2, 4, 3, 5]",0.143
"[7, 5, 1, 0, 4, 2, 3, 6]",0.143
"[5, 2, 7, 0, 4, 3, 6, 1]",0.143
"[7, 1, 6, 0, 4, 5, 3, 2]",0.143
"[0, 1, 5, 2, 4, 6, 3, 7]",0.143
"[1, 7, 0, 4, 2, 6, 5, 3]",0.167
"[1, 6, 5, 3, 2, 7, 4, 0]",0.167
"[7, 5, 0, 2, 4, 3, 6, 1]",0.167
"[4, 5, 0, 1, 7, 6, 2, 3]",0.167
"[7, 1, 4, 5, 6, 3, 0, 2]",0.167
"[0, 1, 5, 3, 7, 2, 4, 6]",0.167
"[0, 4, 3, 6, 7, 1, 2, 5]",0.167
"[3, 7, 4, 0, 6, 1, 2, 5]",0.167
"[3, 4, 1, 2, 5, 6, 0, 7]",0.167
"[2, 7, 6, 1, 5, 4, 3, 0]",0.200
"[3, 1, 0, 4, 6, 2, 7, 5]",0.200
"[2, 0, 4, 6, 1, 5, 3, 7]",0.200
"[1, 5, 7, 4, 6, 2, 0, 3]",0.200
"[4, 3, 0, 7, 6, 2, 5, 1]",0.200
"[1, 4, 5, 7, 2, 6, 0, 3]",0.200
"[3, 6, 2, 5, 4, 0, 7, 1]",0.200
"[4, 6, 1, 5, 3, 2, 0, 7]",0.200
"[3, 0, 6, 4, 5, 2, 1, 7]",0.200
"[4, 2, 7, 6, 0, 5, 3, 1]",0.200
"[5, 2, 7, 1, 4, 3, 6, 0]",0.200
"[6, 0, 1, 5, 3, 7, 4, 2]",0.200
"[4, 6, 1, 3, 2, 5, 7, 0]",0.250
"[7, 1, 6, 0, 2, 4, 3, 5]",0.250
