"individuo,fitness"
"0,0.08333333333333333"
"1,0.09090909090909091"
"2,0.09090909090909091"
"3,0.09090909090909091"
"4,0.1111111111111111"
"5,0.125"
"6,0.125"
"7,0.125"
"8,0.125"
"9,0.125"
"10,0.125"
"11,0.125"
"12,0.125"
"13,0.125"
"14,0.14285714285714285"
"15,0.14285714285714285"
"16,0.14285714285714285"
"17,0.14285714285714285"
"18,0.14285714285714285"
"19,0.14285714285714285"
"20,0.14285714285714285"
"21,0.14285714285714285"
"22,0.14285714285714285"
"23,0.14285714285714285"
"24,0.14285714285714285"
"25,0.16666666666666666"
"26,0.16666666666666666"
"27,0.16666666666666666"
"28,0.16666666666666666"
"29,0.16666666666666666"
"30,0.16666666666666666"
"31,0.16666666666666666"
"32,0.16666666666666666"
"33,0.16666666666666666"
"34,0.2"
"35,0.2"
"36,0.2"
"37,0.2"
"38,0.25"
"39,0.25"
"40,0.25"
"41,0.25"
"42,0.25"
"43,0.25"
"44,0.25"
"45,0.3333333333333333"
"46,0.3333333333333333"
"47,0.3333333333333333"
"48,0.5"
"49,0.5"
"0,0.09090909090909091"
"1,0.09090909090909091"
"2,0.09090909090909091"
"3,0.1111111111111111"
"4,0.125"
"5,0.125"
"6,0.125"
"7,0.125"
"8,0.125"
"9,0.125"
"10,0.125"
"11,0.125"
"12,0.125"
"13,0.14285714285714285"
"14,0.14285714285714285"
"15,0.14285714285714285"
"16,0.14285714285714285"
"17,0.14285714285714285"
"18,0.14285714285714285"
"19,0.14285714285714285"
"20,0.14285714285714285"
"21,0.14285714285714285"
"22,0.14285714285714285"
"23,0.14285714285714285"
"24,0.16666666666666666"
"25,0.16666666666666666"
"26,0.16666666666666666"
"27,0.16666666666666666"
"28,0.16666666666666666"
"29,0.16666666666666666"
"30,0.16666666666666666"
"31,0.16666666666666666"
"32,0.16666666666666666"
"33,0.16666666666666666"
"34,0.2"
"35,0.2"
"36,0.2"
"37,0.2"
"38,0.25"
"39,0.25"
"40,0.25"
"41,0.25"
"42,0.25"
"43,0.25"
"44,0.25"
"45,0.3333333333333333"
"46,0.3333333333333333"
"47,0.3333333333333333"
"48,0.5"
"49,0.5"
"0,0.09090909090909091"
"1,0.09090909090909091"
"2,0.1111111111111111"
"3,0.125"
"4,0.125"
"5,0.125"
"6,0.125"
"7,0.125"
"8,0.125"
"9,0.125"
"10,0.125"
"11,0.125"
"12,0.14285714285714285"
"13,0.14285714285714285"
"14,0.14285714285714285"
"15,0.14285714285714285"
"16,0.14285714285714285"
"17,0.14285714285714285"
"18,0.14285714285714285"
"19,0.14285714285714285"
"20,0.14285714285714285"
"21,0.14285714285714285"
"22,0.14285714285714285"
"23,0.16666666666666666"
"24,0.16666666666666666"
"25,0.16666666666666666"
"26,0.16666666666666666"
"27,0.16666666666666666"
"28,0.16666666666666666"
"29,0.16666666666666666"
"30,0.16666666666666666"
"31,0.16666666666666666"
"32,0.16666666666666666"
"33,0.2"
"34,0.2"
"35,0.2"
"36,0.2"
"37,0.25"
"38,0.25"
"39,0.25"
"40,0.25"
"41,0.25"
"42,0.25"
"43,0.25"
"44,0.25"
"45,0.3333333333333333"
"46,0.3333333333333333"
"47,0.3333333333333333"
"48,0.5"
"49,0.5"
"0,0.09090909090909091"
"1,0.1111111111111111"
"2,0.125"
"3,0.125"
"4,0.125"
"5,0.125"
"6,0.125"
"7,0.125"
"8,0.125"
"9,0.125"
"10,0.125"
"11,0.14285714285714285"
"12,0.14285714285714285"
"13,0.14285714285714285"
"14,0.14285714285714285"
"15,0.14285714285714285"
"16,0.14285714285714285"
"17,0.14285714285714285"
"18,0.14285714285714285"
"19,0.14285714285714285"
"20,0.14285714285714285"
"21,0.14285714285714285"
"22,0.14285714285714285"
"23,0.16666666666666666"
"24,0.16666666666666666"
"25,0.16666666666666666"
"26,0.16666666666666666"
"27,0.16666666666666666"
"28,0.16666666666666666"
"29,0.16666666666666666"
"30,0.16666666666666666"
"31,0.16666666666666666"
"32,0.16666666666666666"
"33,0.2"
"34,0.2"
"35,0.2"
"36,0.2"
"37,0.25"
"38,0.25"
"39,0.25"
"40,0.25"
"41,0.25"
"42,0.25"
"43,0.25"
"44,0.25"
"45,0.3333333333333333"
"46,0.3333333333333333"
"47,0.3333333333333333"
"48,0.5"
"49,0.5"
"0,0.1111111111111111"
"1,0.125"
"2,0.125"
"3,0.125"
"4,0.125"
"5,0.125"
"6,0.125"
"7,0.125"
"8,0.125"
"9,0.125"
"10,0.14285714285714285"
"11,0.14285714285714285"
"12,0.14285714285714285"
"13,0.14285714285714285"
"14,0.14285714285714285"
"15,0.14285714285714285"
"16,0.14285714285714285"
"17,0.14285714285714285"
"18,0.14285714285714285"
"19,0.14285714285714285"
"20,0.14285714285714285"
"21,0.14285714285714285"
"22,0.16666666666666666"
"23,0.16666666666666666"
"24,0.16666666666666666"
"25,0.16666666666666666"
"26,0.16666666666666666"
"27,0.16666666666666666"
"28,0.16666666666666666"
"29,0.16666666666666666"
"30,0.16666666666666666"
"31,0.16666666666666666"
"32,0.2"
"33,0.2"
"34,0.2"
"35,0.2"
"36,0.2"
"37,0.25"
"38,0.25"
"39,0.25"
"40,0.25"
"41,0.25"
"42,0.25"
"43,0.25"
"44,0.25"
"45,0.3333333333333333"
"46,0.3333333333333333"
"47,0.3333333333333333"
"48,0.5"
"49,0.5"
"0,0.125"
"1,0.125"
"2,0.125"
"3,0.125"
"4,0.125"
"5,0.125"
"6,0.125"
"7,0.125"
"8,0.125"
"9,0.14285714285714285"
"10,0.14285714285714285"
