config,fitness
"[5, 4, 7, 6, 1, 0, 3, 2]",0.059
"[7, 6, 5, 4, 3, 1, 2, 0]",0.059
"[4, 5, 6, 7, 0, 1, 2, 3]",0.059
"[7, 6, 5, 1, 3, 2, 4, 0]",0.059
"[0, 1, 7, 6, 5, 4, 3, 2]",0.059
"[7, 6, 5, 4, 0, 2, 1, 3]",0.059
"[6, 5, 2, 3, 4, 1, 0, 7]",0.059
"[7, 5, 6, 4, 3, 2, 1, 0]",0.059
"[2, 1, 0, 7, 6, 5, 4, 3]",0.059
"[7, 6, 0, 4, 3, 2, 1, 5]",0.059
"[7, 6, 5, 1, 3, 2, 4, 0]",0.059
"[3, 4, 5, 6, 7, 2, 1, 0]",0.059
"[0, 2, 3, 4, 5, 6, 7, 1]",0.062
"[7, 0, 6, 5, 4, 3, 2, 1]",0.062
"[5, 7, 6, 0, 4, 3, 2, 1]",0.062
"[0, 2, 3, 4, 5, 6, 7, 1]",0.062
"[4, 0, 1, 2, 3, 7, 5, 6]",0.062
"[7, 5, 4, 3, 2, 1, 0, 6]",0.062
"[6, 0, 1, 2, 3, 4, 5, 7]",0.062
"[1, 7, 6, 5, 4, 3, 2, 0]",0.062
"[6, 0, 1, 2, 3, 4, 5, 7]",0.062
"[6, 0, 1, 2, 3, 4, 5, 7]",0.062
"[6, 5, 7, 3, 2, 1, 0, 4]",0.062
"[5, 7, 6, 0, 4, 3, 2, 1]",0.062
"[1, 2, 0, 4, 5, 6, 7, 3]",0.062
"[5, 6, 7, 4, 3, 0, 1, 2]",0.067
"[6, 3, 4, 5, 2, 7, 0, 1]",0.067
"[1, 0, 5, 2, 3, 4, 7, 6]",0.067
"[4, 5, 2, 3, 0, 1, 6, 7]",0.067
"[7, 4, 5, 2, 3, 0, 1, 6]",0.067
"[6, 5, 4, 3, 0, 1, 2, 7]",0.067
"[4, 5, 6, 3, 2, 1, 0, 7]",0.067
"[1, 0, 5, 2, 3, 4, 7, 6]",0.067
"[6, 5, 0, 3, 2, 1, 4, 7]",0.067
"[6, 5, 4, 7, 0, 1, 2, 3]",0.067
"[4, 5, 6, 3, 2, 1, 0, 7]",0.067
"[5, 0, 7, 2, 3, 4, 1, 6]",0.067
"[3, 0, 1, 6, 7, 4, 5, 2]",0.067
"[6, 5, 4, 7, 0, 1, 2, 3]",0.067
"[5, 6, 7, 2, 3, 4, 1, 0]",0.067
"[3, 2, 5, 4, 7, 6, 1, 0]",0.067
"[5, 0, 7, 2, 3, 4, 1, 6]",0.067
"[5, 4, 7, 2, 1, 0, 3, 6]",0.067
"[6, 7, 4, 5, 0, 1, 2, 3]",0.067
"[4, 7, 6, 5, 2, 3, 0, 1]",0.067
"[0, 3, 2, 5, 4, 7, 6, 1]",0.067
"[4, 7, 6, 5, 2, 3, 0, 1]",0.067
"[7, 6, 3, 4, 5, 0, 1, 2]",0.067
"[0, 1, 6, 7, 4, 5, 2, 3]",0.067
"[1, 4, 3, 6, 5, 0, 7, 2]",0.067
"[0, 7, 2, 1, 4, 3, 6, 5]",0.067
"[7, 4, 5, 6, 1, 2, 3, 0]",0.067
"[6, 3, 0, 1, 2, 7, 4, 5]",0.067
"[0, 3, 2, 5, 4, 7, 6, 1]",0.067
"[7, 2, 1, 0, 3, 4, 5, 6]",0.067
"[4, 5, 2, 3, 0, 1, 6, 7]",0.067
"[7, 0, 1, 2, 3, 6, 5, 4]",0.067
"[6, 5, 4, 3, 0, 1, 2, 7]",0.067
"[1, 0, 3, 4, 5, 2, 7, 6]",0.067
"[7, 4, 5, 6, 1, 2, 3, 0]",0.067
"[2, 1, 0, 3, 6, 5, 4, 7]",0.067
"[7, 0, 1, 2, 3, 6, 5, 4]",0.067
"[7, 6, 1, 0, 3, 2, 5, 4]",0.067
"[3, 0, 1, 2, 7, 6, 5, 4]",0.067
"[2, 5, 4, 7, 6, 1, 0, 3]",0.067
"[5, 0, 3, 2, 1, 4, 7, 6]",0.067
"[5, 0, 7, 6, 1, 4, 3, 2]",0.067
"[4, 1, 2, 7, 0, 5, 6, 3]",0.067
"[1, 4, 3, 6, 5, 0, 7, 2]",0.067
"[1, 4, 7, 6, 5, 0, 3, 2]",0.067
"[5, 4, 7, 2, 1, 0, 3, 6]",0.067
"[1, 2, 3, 0, 5, 4, 7, 6]",0.067
"[1, 4, 7, 6, 5, 0, 3, 2]",0.067
"[1, 6, 3, 4, 5, 0, 7, 2]",0.067
"[6, 7, 2, 5, 4, 3, 0, 1]",0.067
"[1, 0, 3, 4, 5, 2, 7, 6]",0.067
"[1, 4, 3, 2, 5, 0, 7, 6]",0.067
"[4, 5, 6, 7, 2, 1, 0, 3]",0.067
"[1, 0, 3, 2, 7, 6, 5, 4]",0.067
"[1, 0, 3, 2, 5, 6, 7, 4]",0.067
"[6, 5, 4, 3, 0, 1, 2, 7]",0.067
"[1, 0, 5, 2, 3, 4, 7, 6]",0.067
"[7, 2, 1, 4, 3, 6, 5, 0]",0.067
"[0, 3, 2, 1, 6, 5, 4, 7]",0.067
"[6, 7, 2, 5, 4, 3, 0, 1]",0.067
"[2, 1, 4, 3, 6, 5, 0, 7]",0.067
"[7, 0, 5, 6, 3, 4, 1, 2]",0.067
"[3, 4, 1, 2, 7, 0, 5, 6]",0.067
