config,fitness
"[0, 1, 2, 7, 3, 5, 6, 4]",0.083
"[0, 7, 1, 3, 4, 5, 2, 6]",0.091
"[7, 2, 3, 4, 5, 1, 0, 6]",0.111
"[7, 2, 3, 4, 1, 0, 5, 6]",0.111
"[1, 5, 0, 3, 2, 4, 7, 6]",0.125
"[3, 4, 7, 6, 1, 5, 0, 2]",0.125
"[5, 0, 1, 7, 6, 4, 2, 3]",0.125
"[1, 6, 7, 4, 0, 5, 2, 3]",0.125
"[1, 7, 5, 4, 3, 0, 2, 6]",0.143
"[5, 1, 0, 2, 7, 4, 3, 6]",0.143
"[3, 4, 2, 1, 5, 0, 6, 7]",0.143
"[2, 5, 0, 4, 6, 7, 1, 3]",0.143
"[7, 0, 6, 2, 1, 3, 4, 5]",0.143
"[0, 2, 6, 5, 4, 1, 3, 7]",0.143
"[6, 7, 2, 4, 5, 1, 0, 3]",0.143
"[7, 6, 4, 1, 2, 5, 0, 3]",0.143
"[2, 1, 5, 7, 4, 3, 6, 0]",0.143
"[3, 6, 2, 5, 4, 1, 0, 7]",0.167
"[1, 3, 7, 6, 5, 2, 4, 0]",0.167
"[6, 5, 0, 2, 1, 7, 3, 4]",0.167
"[0, 5, 4, 7, 1, 2, 3, 6]",0.167
"[2, 7, 6, 1, 4, 5, 0, 3]",0.167
"[5, 7, 0, 4, 1, 3, 2, 6]",0.167
"[1, 5, 3, 2, 6, 4, 7, 0]",0.167
"[7, 3, 6, 2, 4, 5, 1, 0]",0.167
"[7, 6, 2, 0, 3, 5, 4, 1]",0.167
"[5, 0, 3, 1, 4, 6, 2, 7]",0.200
"[7, 6, 1, 2, 4, 5, 0, 3]",0.200
"[3, 5, 2, 7, 6, 4, 0, 1]",0.200
"[3, 0, 5, 1, 6, 7, 4, 2]",0.200
"[6, 0, 1, 2, 5, 3, 7, 4]",0.200
"[6, 3, 2, 0, 4, 7, 1, 5]",0.200
"[3, 6, 1, 0, 4, 7, 5, 2]",0.200
"[0, 6, 2, 7, 5, 4, 1, 3]",0.200
"[6, 2, 1, 3, 0, 7, 4, 5]",0.200
"[2, 6, 0, 3, 7, 5, 1, 4]",0.200
"[6, 0, 2, 1, 4, 7, 5, 3]",0.250
"[5, 3, 6, 2, 0, 7, 1, 4]",0.250
"[6, 3, 7, 0, 4, 1, 2, 5]",0.250
"[1, 7, 0, 2, 4, 6, 3, 5]",0.250
"[0, 4, 5, 7, 3, 6, 2, 1]",0.250
"[5, 0, 6, 7, 2, 1, 3, 4]",0.250
"[5, 4, 1, 6, 2, 7, 0, 3]",0.250
"[2, 7, 5, 1, 0, 6, 3, 4]",0.250
"[2, 6, 3, 1, 5, 0, 4, 7]",0.250
"[6, 1, 4, 7, 0, 2, 3, 5]",0.333
"[2, 4, 6, 1, 5, 0, 7, 3]",0.333
"[7, 0, 4, 1, 5, 3, 6, 2]",0.333
"[2, 5, 1, 4, 6, 0, 3, 7]",0.500
"[5, 3, 0, 7, 4, 2, 1, 6]",0.500
"[7, 2, 3, 4, 5, 1, 0, 6]",0.111
"[7, 2, 3, 4, 1, 0, 5, 6]",0.111
"[1, 5, 0, 3, 2, 4, 7, 6]",0.125
"[3, 4, 7, 6, 1, 5, 0, 2]",0.125
"[5, 0, 1, 7, 6, 4, 2, 3]",0.125
"[1, 6, 7, 4, 0, 5, 2, 3]",0.125
"[1, 7, 5, 4, 3, 0, 2, 6]",0.143
"[5, 1, 0, 2, 7, 4, 3, 6]",0.143
"[3, 4, 2, 1, 5, 0, 6, 7]",0.143
"[2, 5, 0, 4, 6, 7, 1, 3]",0.143
"[6, 7, 2, 4, 5, 1, 0, 3]",0.143
"[7, 0, 6, 2, 1, 3, 4, 5]",0.143
"[0, 2, 6, 5, 4, 1, 3, 7]",0.143
"[6, 7, 2, 4, 5, 1, 0, 3]",0.143
"[7, 6, 4, 1, 2, 5, 0, 3]",0.143
"[2, 1, 5, 7, 4, 3, 6, 0]",0.143
"[3, 6, 2, 5, 4, 1, 0, 7]",0.167
"[1, 3, 7, 6, 5, 2, 4, 0]",0.167
"[6, 5, 0, 2, 1, 7, 3, 4]",0.167
"[0, 5, 4, 7, 1, 2, 3, 6]",0.167
"[2, 7, 6, 1, 4, 5, 0, 3]",0.167
"[5, 7, 0, 4, 1, 3, 2, 6]",0.167
"[1, 5, 3, 2, 6, 4, 7, 0]",0.167
"[7, 3, 6, 2, 4, 5, 1, 0]",0.167
"[7, 6, 2, 0, 3, 5, 4, 1]",0.167
"[5, 0, 3, 1, 4, 6, 2, 7]",0.200
"[7, 6, 1, 2, 4, 5, 0, 3]",0.200
"[3, 5, 2, 7, 6, 4, 0, 1]",0.200
"[3, 0, 5, 1, 6, 7, 4, 2]",0.200
"[6, 0, 1, 2, 5, 3, 7, 4]",0.200
"[6, 3, 2, 0, 4, 7, 1, 5]",0.200
"[2, 4, 1, 6, 5, 0, 7, 3]",0.200
"[3, 6, 1, 0, 4, 7, 5, 2]",0.200
