populacao,total_cenverg,it_converg,fitmedio,gen
20,0,0,0.483,211
20,0,0,0.485,211
20,0,0,0.500,207
20,0,0,0.500,211
20,18,143,0.921,208
20,0,0,0.481,203
20,0,0,0.500,213
20,0,0,0.492,206
20,0,0,0.324,208
20,0,0,0.500,206
