config,fitness
"[4, 7, 2, 3, 0, 5, 6, 1]",0.091
"[2, 0, 1, 4, 3, 5, 7, 6]",0.100
"[4, 6, 7, 1, 0, 5, 2, 3]",0.111
"[6, 5, 3, 4, 0, 1, 2, 7]",0.125
"[7, 1, 5, 2, 3, 0, 4, 6]",0.125
"[4, 1, 2, 0, 5, 6, 3, 7]",0.125
"[4, 2, 3, 7, 1, 6, 5, 0]",0.143
"[5, 7, 3, 6, 0, 4, 2, 1]",0.143
"[2, 3, 0, 5, 4, 1, 7, 6]",0.143
"[4, 7, 1, 0, 6, 5, 2, 3]",0.143
"[0, 3, 2, 5, 7, 4, 6, 1]",0.143
"[0, 5, 6, 7, 2, 4, 3, 1]",0.143
"[6, 7, 1, 3, 4, 2, 0, 5]",0.143
"[6, 0, 5, 4, 1, 2, 3, 7]",0.143
"[3, 2, 6, 4, 7, 5, 1, 0]",0.143
"[6, 7, 4, 1, 0, 2, 3, 5]",0.167
"[7, 5, 4, 6, 0, 2, 1, 3]",0.167
"[1, 5, 0, 7, 3, 2, 4, 6]",0.167
"[3, 2, 4, 1, 5, 0, 7, 6]",0.167
"[4, 2, 6, 3, 7, 5, 0, 1]",0.167
"[2, 6, 3, 7, 5, 4, 1, 0]",0.167
"[7, 1, 3, 0, 6, 2, 5, 4]",0.167
"[3, 4, 2, 1, 5, 0, 7, 6]",0.167
"[2, 1, 7, 5, 4, 0, 3, 6]",0.167
"[4, 5, 2, 6, 0, 3, 7, 1]",0.167
"[2, 3, 1, 0, 7, 5, 6, 4]",0.167
"[0, 3, 4, 1, 5, 2, 7, 6]",0.200
"[4, 7, 2, 6, 1, 5, 3, 0]",0.200
"[6, 1, 0, 7, 4, 3, 5, 2]",0.200
"[0, 4, 6, 2, 7, 5, 1, 3]",0.200
"[7, 0, 2, 4, 5, 3, 6, 1]",0.200
"[3, 0, 2, 7, 6, 1, 4, 5]",0.200
"[0, 4, 2, 7, 3, 1, 5, 6]",0.200
"[0, 7, 2, 3, 1, 6, 4, 5]",0.200
"[3, 4, 0, 2, 5, 7, 1, 6]",0.250
"[0, 6, 1, 7, 4, 2, 3, 5]",0.250
"[3, 0, 5, 1, 4, 6, 2, 7]",0.250
"[6, 4, 1, 7, 0, 3, 2, 5]",0.250
"[4, 6, 3, 2, 5, 7, 0, 1]",0.250
"[3, 2, 5, 1, 6, 7, 0, 4]",0.250
"[3, 7, 0, 5, 2, 6, 1, 4]",0.250
"[5, 1, 2, 6, 7, 4, 0, 3]",0.250
"[5, 6, 1, 7, 4, 3, 0, 2]",0.333
"[2, 6, 5, 1, 4, 7, 0, 3]",0.333
"[1, 3, 7, 0, 2, 5, 4, 6]",0.333
"[1, 5, 4, 2, 7, 0, 6, 3]",0.333
"[5, 3, 1, 4, 6, 2, 0, 7]",0.333
"[1, 2, 5, 3, 7, 0, 4, 6]",0.333
"[5, 7, 1, 3, 6, 2, 0, 4]",0.333
"[3, 5, 2, 1, 6, 0, 7, 4]",0.500
"[2, 0, 1, 4, 3, 5, 7, 6]",0.100
"[4, 6, 7, 1, 0, 5, 2, 3]",0.111
"[6, 5, 3, 4, 0, 1, 2, 7]",0.125
"[7, 1, 5, 2, 3, 0, 4, 6]",0.125
"[4, 1, 2, 0, 5, 6, 3, 7]",0.125
"[4, 2, 3, 7, 1, 6, 5, 0]",0.143
"[5, 7, 3, 6, 0, 4, 2, 1]",0.143
"[2, 3, 0, 5, 4, 1, 7, 6]",0.143
"[4, 7, 1, 0, 6, 5, 2, 3]",0.143
"[0, 3, 2, 5, 7, 4, 6, 1]",0.143
"[0, 5, 6, 7, 2, 4, 3, 1]",0.143
"[6, 7, 1, 3, 4, 2, 0, 5]",0.143
"[6, 0, 5, 4, 1, 2, 3, 7]",0.143
"[3, 2, 6, 4, 7, 5, 1, 0]",0.143
"[6, 7, 4, 1, 0, 2, 3, 5]",0.167
"[7, 5, 4, 6, 0, 2, 1, 3]",0.167
"[1, 5, 0, 7, 3, 2, 4, 6]",0.167
"[3, 2, 4, 1, 5, 0, 7, 6]",0.167
"[4, 2, 6, 3, 7, 5, 0, 1]",0.167
"[2, 6, 3, 7, 5, 4, 1, 0]",0.167
"[7, 1, 3, 0, 6, 2, 5, 4]",0.167
"[3, 4, 2, 1, 5, 0, 7, 6]",0.167
"[2, 1, 7, 5, 4, 0, 3, 6]",0.167
"[4, 5, 2, 6, 0, 3, 7, 1]",0.167
"[2, 3, 1, 0, 7, 5, 6, 4]",0.167
"[0, 3, 4, 1, 5, 2, 7, 6]",0.200
"[4, 7, 2, 6, 1, 5, 3, 0]",0.200
"[6, 1, 0, 7, 4, 3, 5, 2]",0.200
"[0, 4, 6, 2, 7, 5, 1, 3]",0.200
"[7, 0, 2, 4, 5, 3, 6, 1]",0.200
"[3, 0, 2, 7, 6, 1, 4, 5]",0.200
"[0, 4, 2, 7, 3, 1, 5, 6]",0.200
"[0, 7, 2, 3, 1, 6, 4, 5]",0.200
"[3, 4, 0, 2, 5, 7, 1, 6]",0.250
"[0, 6, 1, 7, 4, 2, 3, 5]",0.250
"[3, 0, 5, 1, 4, 6, 2, 7]",0.250
"[6, 4, 1, 7, 0, 3, 2, 5]",0.250
"[4, 2, 1, 5, 3, 6, 0, 7]",0.250
"[4, 6, 3, 2, 5, 7, 0, 1]",0.250
"[3, 2, 5, 1, 6, 7, 0, 4]",0.250
"[3, 7, 0, 5, 2, 6, 1, 4]",0.250
"[5, 1, 2, 6, 7, 4, 0, 3]",0.250
"[5, 6, 1, 7, 4, 3, 0, 2]",0.333
"[2, 6, 5, 1, 4, 7, 0, 3]",0.333
"[1, 3, 7, 0, 2, 5, 4, 6]",0.333
"[1, 5, 4, 2, 7, 0, 6, 3]",0.333
"[5, 3, 1, 4, 6, 2, 0, 7]",0.333
"[1, 2, 5, 3, 7, 0, 4, 6]",0.333
"[5, 7, 1, 3, 6, 2, 0, 4]",0.333
"[3, 5, 2, 1, 6, 0, 7, 4]",0.500
"[6, 5, 3, 4, 0, 1, 2, 7]",0.125
"[7, 1, 5, 2, 3, 0, 4, 6]",0.125
"[4, 1, 2, 0, 5, 6, 3, 7]",0.125
"[4, 2, 3, 7, 1, 6, 5, 0]",0.143
"[5, 7, 3, 6, 0, 4, 2, 1]",0.143
"[2, 3, 0, 5, 4, 1, 7, 6]",0.143
"[4, 7, 1, 0, 6, 5, 2, 3]",0.143
"[0, 3, 2, 5, 7, 4, 6, 1]",0.143
"[0, 5, 6, 7, 2, 4, 3, 1]",0.143
"[6, 7, 1, 3, 4, 2, 0, 5]",0.143
"[6, 0, 5, 4, 1, 2, 3, 7]",0.143
"[3, 2, 6, 4, 7, 5, 1, 0]",0.143
"[6, 7, 4, 1, 0, 2, 3, 5]",0.167
"[7, 5, 4, 6, 0, 2, 1, 3]",0.167
"[1, 5, 0, 7, 3, 2, 4, 6]",0.167
"[3, 2, 4, 1, 5, 0, 7, 6]",0.167
"[4, 2, 6, 3, 7, 5, 0, 1]",0.167
"[2, 6, 3, 7, 5, 4, 1, 0]",0.167
"[7, 1, 3, 0, 6, 2, 5, 4]",0.167
"[3, 4, 2, 1, 5, 0, 7, 6]",0.167
"[2, 1, 7, 5, 4, 0, 3, 6]",0.167
"[4, 5, 2, 6, 0, 3, 7, 1]",0.167
"[2, 3, 1, 0, 7, 5, 6, 4]",0.167
"[0, 3, 4, 1, 5, 2, 7, 6]",0.200
"[3, 0, 2, 7, 6, 1, 4, 5]",0.200
"[4, 7, 2, 6, 1, 5, 3, 0]",0.200
"[6, 1, 0, 7, 4, 3, 5, 2]",0.200
"[0, 4, 6, 2, 7, 5, 1, 3]",0.200
"[7, 0, 2, 4, 5, 3, 6, 1]",0.200
"[3, 0, 2, 7, 6, 1, 4, 5]",0.200
"[0, 4, 2, 7, 3, 1, 5, 6]",0.200
"[0, 7, 2, 3, 1, 6, 4, 5]",0.200
"[3, 4, 0, 2, 5, 7, 1, 6]",0.250
"[0, 6, 1, 7, 4, 2, 3, 5]",0.250
"[3, 0, 5, 1, 4, 6, 2, 7]",0.250
"[6, 4, 1, 7, 0, 3, 2, 5]",0.250
"[4, 2, 1, 5, 3, 6, 0, 7]",0.250
"[4, 6, 0, 3, 2, 5, 7, 1]",0.250
"[4, 6, 3, 2, 5, 7, 0, 1]",0.250
"[3, 2, 5, 1, 6, 7, 0, 4]",0.250
"[3, 7, 0, 5, 2, 6, 1, 4]",0.250
"[5, 1, 2, 6, 7, 4, 0, 3]",0.250
"[5, 6, 1, 7, 4, 3, 0, 2]",0.333
"[2, 6, 5, 1, 4, 7, 0, 3]",0.333
"[1, 3, 7, 0, 2, 5, 4, 6]",0.333
"[1, 5, 4, 2, 7, 0, 6, 3]",0.333
"[5, 3, 1, 4, 6, 2, 0, 7]",0.333
"[1, 2, 5, 3, 7, 0, 4, 6]",0.333
"[5, 7, 1, 3, 6, 2, 0, 4]",0.333
"[3, 5, 2, 1, 6, 0, 7, 4]",0.500
"[7, 1, 5, 2, 3, 0, 4, 6]",0.125
"[4, 1, 2, 0, 5, 6, 3, 7]",0.125
"[4, 2, 3, 7, 1, 6, 5, 0]",0.143
"[5, 7, 3, 6, 0, 4, 2, 1]",0.143
"[2, 3, 0, 5, 4, 1, 7, 6]",0.143
"[4, 7, 1, 0, 6, 5, 2, 3]",0.143
"[4, 7, 3, 2, 5, 6, 0, 1]",0.143
"[0, 3, 2, 5, 7, 4, 6, 1]",0.143
"[0, 5, 6, 7, 2, 4, 3, 1]",0.143
"[6, 7, 1, 3, 4, 2, 0, 5]",0.143
"[6, 0, 5, 4, 1, 2, 3, 7]",0.143
"[3, 2, 6, 4, 7, 5, 1, 0]",0.143
"[6, 7, 4, 1, 0, 2, 3, 5]",0.167
"[7, 5, 4, 6, 0, 2, 1, 3]",0.167
"[1, 5, 0, 7, 3, 2, 4, 6]",0.167
"[3, 2, 4, 1, 5, 0, 7, 6]",0.167
"[4, 2, 6, 3, 7, 5, 0, 1]",0.167
"[2, 6, 3, 7, 5, 4, 1, 0]",0.167
"[7, 1, 3, 0, 6, 2, 5, 4]",0.167
"[3, 4, 2, 1, 5, 0, 7, 6]",0.167
"[2, 1, 7, 5, 4, 0, 3, 6]",0.167
"[4, 5, 2, 6, 0, 3, 7, 1]",0.167
"[2, 3, 1, 0, 7, 5, 6, 4]",0.167
"[0, 3, 4, 1, 5, 2, 7, 6]",0.200
"[3, 0, 2, 7, 6, 1, 4, 5]",0.200
"[4, 7, 2, 6, 1, 5, 3, 0]",0.200
"[6, 1, 0, 7, 4, 3, 5, 2]",0.200
"[0, 4, 6, 2, 7, 5, 1, 3]",0.200
"[7, 0, 2, 4, 5, 3, 6, 1]",0.200
