config,fitness
"[5, 7, 0, 1, 6, 2, 4, 3]",0.143
"[5, 7, 1, 6, 4, 3, 2, 0]",0.143
"[5, 6, 7, 2, 4, 1, 0, 3]",0.143
"[2, 4, 0, 6, 3, 7, 1, 5]",0.143
"[5, 1, 7, 3, 2, 4, 6, 0]",0.143
"[6, 3, 7, 5, 0, 4, 1, 2]",0.143
"[0, 3, 7, 6, 2, 5, 4, 1]",0.200
"[7, 0, 3, 6, 2, 4, 5, 1]",0.200
"[2, 4, 3, 6, 0, 7, 1, 5]",0.200
"[3, 0, 7, 6, 2, 5, 4, 1]",0.200
"[0, 3, 7, 6, 2, 5, 4, 1]",0.200
"[2, 4, 3, 6, 0, 7, 1, 5]",0.200
"[7, 0, 2, 6, 5, 3, 4, 1]",0.250
"[2, 4, 7, 3, 6, 0, 1, 5]",0.250
"[7, 2, 6, 5, 0, 4, 1, 3]",0.250
"[7, 0, 3, 6, 2, 5, 4, 1]",0.333
"[0, 3, 1, 6, 2, 5, 7, 4]",0.500
"[7, 0, 2, 5, 6, 3, 4, 1]",0.143
"[1, 2, 5, 7, 6, 3, 4, 0]",0.143
"[5, 7, 0, 1, 6, 2, 4, 3]",0.143
"[5, 7, 1, 6, 4, 3, 2, 0]",0.143
"[5, 6, 7, 2, 4, 1, 0, 3]",0.143
"[2, 4, 0, 6, 3, 7, 1, 5]",0.143
"[5, 1, 7, 3, 2, 4, 6, 0]",0.143
"[6, 3, 7, 5, 0, 4, 1, 2]",0.143
"[0, 3, 7, 6, 2, 5, 4, 1]",0.200
"[7, 0, 3, 6, 2, 4, 5, 1]",0.200
"[2, 4, 3, 6, 0, 7, 1, 5]",0.200
"[3, 0, 7, 6, 2, 5, 4, 1]",0.200
"[0, 3, 7, 6, 2, 5, 4, 1]",0.200
"[2, 4, 3, 6, 0, 7, 1, 5]",0.200
"[3, 6, 2, 5, 0, 7, 4, 1]",0.250
"[7, 0, 2, 6, 5, 3, 4, 1]",0.250
"[2, 4, 7, 3, 6, 0, 1, 5]",0.250
"[7, 2, 6, 5, 0, 4, 1, 3]",0.250
"[7, 0, 3, 6, 2, 5, 4, 1]",0.333
"[0, 3, 1, 6, 2, 5, 7, 4]",0.500
"[1, 2, 5, 7, 6, 3, 4, 0]",0.143
"[5, 7, 0, 1, 6, 2, 4, 3]",0.143
"[5, 7, 1, 6, 4, 3, 2, 0]",0.143
"[5, 6, 7, 2, 4, 1, 0, 3]",0.143
"[2, 4, 0, 6, 3, 7, 1, 5]",0.143
"[5, 1, 7, 3, 2, 4, 6, 0]",0.143
"[6, 3, 7, 5, 0, 4, 1, 2]",0.143
"[0, 3, 7, 6, 2, 5, 4, 1]",0.200
"[7, 0, 3, 6, 2, 4, 5, 1]",0.200
"[2, 4, 3, 6, 0, 7, 1, 5]",0.200
"[3, 0, 7, 6, 2, 5, 4, 1]",0.200
"[0, 3, 7, 6, 2, 5, 4, 1]",0.200
"[2, 4, 3, 6, 0, 7, 1, 5]",0.200
"[3, 6, 2, 5, 0, 7, 4, 1]",0.250
"[7, 0, 3, 6, 4, 2, 5, 1]",0.250
"[7, 0, 2, 6, 5, 3, 4, 1]",0.250
"[2, 4, 7, 3, 6, 0, 1, 5]",0.250
"[7, 2, 6, 5, 0, 4, 1, 3]",0.250
"[7, 0, 3, 6, 2, 5, 4, 1]",0.333
"[0, 3, 1, 6, 2, 5, 7, 4]",0.500
"[5, 7, 0, 1, 6, 2, 4, 3]",0.143
