populacao,total_cenverg,it_converg,fitmedio,gen
20,20,61,1.000,205
20,0,0,0.500,211
20,8,76,0.700,205
20,0,0,0.500,207
20,0,0,0.500,216
20,0,0,0.500,206
20,0,0,0.500,214
20,20,59,1.000,209
20,20,31,1.000,214
20,0,0,0.500,207
