populacao,total_cenverg,it_converg,fitmedio
20,14,40,0.850
20,0,0,0.500
20,4,129,0.600
20,3,154,0.517
20,0,0,0.483
20,2,184,0.550
20,0,0,0.417
20,11,22,0.775
20,7,147,0.650
20,0,0,0.500
